method,model_seed,city_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
HW_GA_SAC,4,1,200,0.955,0.035,0.01,199.89482185288088,793.64,38.01654277324676,37.79534537315369,17.236964864619075,14.450949220601055,1142.5268449425103,1.0680690547257647,1.2671974000980872
HW_GA_SAC,4,2,200,0.985,0.015,0.0,215.0735010412943,792.91,21.47425033092499,21.474196314811707,25.477277348600328,14.748508277433894,1169.7495953576338,0.8425415362423465,1.2855925178403822
HW_GA_SAC,4,3,200,0.93,0.055,0.015,189.77580493994242,789.78,50.36834228992462,50.05172916889191,19.255304536698386,14.479197608155603,1135.6017171987974,0.986449027489394,1.274942225703252
HW_GA_SAC,4,4,200,0.985,0.01,0.005,217.97502059881023,808.07,18.594307494163512,18.467387914657593,24.8208610214293,14.741363598321586,1186.673982867049,0.8634504468148617,1.2898840222103678
HW_GA_SAC,4,42,200,0.99,0.0,0.01,220.42808987791557,824.5,10.246382756233215,9.955311741828918,25.631102770539,14.64436818109064,1195.6538800609412,0.7809431674969456,1.2781606104991858
HW_GA_SAC,5,1,200,0.91,0.0,0.09,192.989768581784,1117.39,11.338411602973938,10.565838680267333,12.638971574306488,12.267889119293443,1312.3343344595019,0.7260588847486293,1.3479120258079536
HW_GA_SAC,5,2,200,0.89,0.0,0.11,188.1363411098854,1115.07,11.473574132919312,10.634591450691223,16.170948707461356,12.341213494970821,1305.8657170035667,0.7314255793888218,1.330965672697489
HW_GA_SAC,5,3,200,0.91,0.0,0.09,193.40154736376329,1106.085,15.015386867523194,14.24374915599823,12.024752862453461,12.262386095880931,1304.270388428041,0.7255206037556503,1.3481412337016794
HW_GA_SAC,5,4,200,0.915,0.0,0.085,194.58124574361332,1110.43,11.11100591659546,10.470659747123719,12.547139673233032,12.2957057578203,1308.1897676676097,0.7290410709508056,1.3479800682431398
HW_GA_SAC,5,42,200,0.91,0.005,0.085,192.8306392088442,1076.725,15.009336633682251,14.236088604927064,17.913309504985808,12.427612500750309,1275.0998592632384,0.7499078589789779,1.3230323836568119
