method,method_label,model_seed,wind_level,city_seed,success_rate,collision_rate,timeout_rate,average_return,final_distance,path_length,straight_line_distance,path_efficiency,minimum_clearance,average_speed,episode_steps,episodes
HW_GA_SAC,HW_GA_SAC,1,strong,52,0.84,0.0,0.16,205.11075248064247,11.101989059448242,1585.2264731596886,924.6867346191407,0.5894628694752179,13.360958609580994,13.674018837501732,1225.47,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,43,1.0,0.0,0.0,220.22041063927958,9.89233889579773,1351.0536743772436,924.9161865234375,0.6857127555082198,4.286626638174057,13.992642498822775,969.29,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,44,0.99,0.0,0.01,212.8600809792069,10.078450508117676,1313.7959620698937,925.0100183105469,0.7071795720969932,4.32302004814148,13.825056083903995,955.23,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,45,1.0,0.0,0.0,219.34023074415353,9.913285131454467,1322.4953079430204,927.9463464355468,0.7028335900548883,4.858796849250793,13.951824619985091,949.08,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,46,1.0,0.0,0.0,219.15132788729602,9.893520650863648,1315.5366649875446,918.8055920410156,0.6993055548270557,5.199122447967529,13.909052287368208,946.58,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,47,0.99,0.01,0.0,220.2055732621273,12.534147567749024,1296.1619704021673,925.2463067626953,0.715858570420199,6.466056008338928,13.992455513232514,927.24,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,48,1.0,0.0,0.0,224.6257170508783,9.892526111602784,1342.9311681717872,920.9089416503906,0.6867675647669043,5.974804363250732,14.135365426267711,950.77,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,49,1.0,0.0,0.0,220.04932101731666,9.881124782562257,1307.8316122493904,921.2407067871094,0.7049194129403034,5.104486867785454,13.920263501015391,940.61,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,50,1.0,0.0,0.0,220.89710125117523,9.881168279647827,1330.2198421110952,927.9627069091797,0.6986757985375966,5.595502381920815,13.94060952373326,955.2,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,51,1.0,0.0,0.0,219.456839076748,9.888298091888428,1307.366538293355,922.3160729980468,0.706223989980217,4.669234743118286,13.95086657561972,938.01,100
HW_GA_SAC,HW_GA_SAC,2,no_wind,52,1.0,0.0,0.0,216.1025233169235,9.89849720954895,1279.3388536694472,924.6867346191407,0.7239358513873931,5.288263051360846,13.839181605663564,925.59,100
HW_GA_SAC,HW_GA_SAC,2,strong,43,0.98,0.0,0.02,213.58514627629253,10.204852705001832,1358.36207051928,924.9161865234375,0.6847975592059952,3.840738643705845,13.59486624320345,1008.86,100
HW_GA_SAC,HW_GA_SAC,2,strong,44,0.97,0.01,0.02,211.2381174838587,11.587791662216187,1318.1662214844566,925.0100183105469,0.7067260733380362,4.817480525076389,13.400229271642031,993.1,100
HW_GA_SAC,HW_GA_SAC,2,strong,45,0.99,0.0,0.01,215.24143255190316,10.171655464172364,1325.743473031064,927.9463464355468,0.7026961834057814,4.698290419578552,13.540270311813458,986.23,100
HW_GA_SAC,HW_GA_SAC,2,strong,46,0.99,0.0,0.01,215.36274681502917,10.095938806533814,1316.4619534675987,918.8055920410156,0.7002064111932934,4.706805758476257,13.584010311558952,974.59,100
HW_GA_SAC,HW_GA_SAC,2,strong,47,0.98,0.0,0.02,219.6131450630386,10.426199111938477,1308.9686515545498,925.2463067626953,0.7115240980192238,5.941951117515564,13.574081332591051,974.37,100
HW_GA_SAC,HW_GA_SAC,2,strong,48,0.98,0.0,0.02,223.2812360392984,10.181200914382934,1350.8918687582977,920.9089416503906,0.6855430540852038,6.058168357312679,13.741640516992923,992.03,100
HW_GA_SAC,HW_GA_SAC,2,strong,49,1.0,0.0,0.0,220.86651786901348,9.895852689743043,1305.5537848111092,921.2407067871094,0.7062899471551458,4.784886193275452,13.536533628825268,967.47,100
HW_GA_SAC,HW_GA_SAC,2,strong,50,0.99,0.01,0.0,218.06564933818063,17.351982612609863,1312.0374198481156,927.9627069091797,0.7058507069011771,5.822190976212733,13.486435919472667,976.29,100
HW_GA_SAC,HW_GA_SAC,2,strong,51,1.0,0.0,0.0,221.115881462946,9.901980504989623,1305.4422985077938,922.3160729980468,0.7073783568902908,4.648018445968628,13.614054763161121,961.64,100
HW_GA_SAC,HW_GA_SAC,2,strong,52,0.99,0.01,0.0,213.4576921582346,13.53384274482727,1272.3561106878678,924.6867346191407,0.7278823366233033,5.165521767288446,13.520481535607262,943.85,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,43,0.99,0.01,0.0,197.0362157821022,13.86825240135193,1076.3889018011769,924.9161865234375,0.863191150220304,6.626716876719147,13.201257558237339,822.4,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,44,0.94,0.05,0.01,179.05446574468218,28.587553129196166,1098.8263959151504,925.0100183105469,0.8437073271919882,5.582332504987717,12.769055861863892,876.86,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,45,0.93,0.07,0.0,169.71298079123574,37.47223373413086,1076.6338041625852,927.9463464355468,0.8525470164694521,4.684418393336236,12.780254410695312,856.91,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,46,0.97,0.03,0.0,195.97919439560155,26.570417852401732,1054.3462248301794,918.8055920410156,0.863739963468531,7.061016447544098,12.963709626984631,818.11,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,47,0.97,0.03,0.0,190.01106006828834,16.529131250381468,1042.8871755488246,925.2463067626953,0.8874932783113957,5.476956137819216,13.383884104247773,785.22,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,48,0.96,0.04,0.0,183.7521130674664,14.122231197357177,1052.6286756034326,920.9089416503906,0.8793855273568787,5.591256747990847,13.221077068130286,802.21,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,49,0.98,0.02,0.0,188.1624573349046,18.670106134414674,1070.839508163612,921.2407067871094,0.8626241700243833,5.69170343939215,13.120090491378319,825.85,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,50,0.95,0.05,0.0,172.38359259366462,24.85349497795105,1072.6952043283902,927.9627069091797,0.8605916540495907,4.367597209643573,12.99417710443632,833.4,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,51,0.98,0.02,0.0,190.5568034813223,16.647201833724974,1057.2879505652447,922.3160729980468,0.8717191907110414,6.14327570848167,13.225138927177438,806.01,100
HW_GA_SAC,HW_GA_SAC,3,no_wind,52,0.97,0.03,0.0,183.07356138920045,22.074625301361085,1063.1791246512912,924.6867346191407,0.8666237919648061,5.125664678555913,13.005948056408302,822.85,100
HW_GA_SAC,HW_GA_SAC,3,strong,43,1.0,0.0,0.0,203.41755360012527,9.937645301818847,1082.9521466266192,924.9161865234375,0.8584076178716935,6.695391097865067,12.69547276376443,866.95,100
HW_GA_SAC,HW_GA_SAC,3,strong,44,0.97,0.03,0.0,191.7681327382744,18.244241456985474,1100.2470271912084,925.0100183105469,0.8430571843086863,5.3885607755184175,12.45059237776078,901.44,100
HW_GA_SAC,HW_GA_SAC,3,strong,45,0.96,0.04,0.0,184.7844911032943,13.846880588531494,1121.4995363040468,927.9463464355468,0.8360567598371618,4.717667469382286,12.19752512016231,949.81,100
HW_GA_SAC,HW_GA_SAC,3,strong,46,0.95,0.05,0.0,177.53240081361892,35.04675796508789,1048.8608623741554,918.8055920410156,0.863109767269941,6.805179350867984,12.602538274194837,847.14,100
HW_GA_SAC,HW_GA_SAC,3,strong,47,0.97,0.03,0.0,177.02529979595084,28.10280366897583,1029.4260482529128,925.2463067626953,0.8892210505391586,5.52043246411602,12.952377634255635,804.52,100
