method,model_seed,condition,condition_group,episode,eval_seed,image_noise_sigma,range_noise_sigma,latency_ms,success,collision,timeout,reward,steps,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed,path_length,path_efficiency,successful_path_stretch,city_seed,city_split
TD3,1,clean,clean,11,621011,0.0,0.0,0.0,0,0,1,-34.94951376108224,2200,939.9700317382812,19.631261825561523,17.244007110595703,16.868499755859375,6.56177545667372,1439.5171037569767,0.6529759384484324,nan,,
TD3,1,clean,clean,12,621012,0.0,0.0,0.0,1,0,0,195.64648478050557,648,894.534912109375,9.932746887207031,9.932746887207031,3.8621253967285156,14.70055836301159,952.2229847413195,0.9394174751540828,1.0644894591044098,,
TD3,1,clean,clean,13,621013,0.0,0.0,0.0,0,0,1,-30.101472247354913,2200,910.3756713867188,12.821045875549316,12.489336967468262,6.848701477050781,7.060015190765261,1549.5646548793543,0.5875041538409371,nan,,
TD3,1,clean,clean,14,621014,0.0,0.0,0.0,0,0,1,-71.22442131749439,2200,933.75927734375,18.598127365112305,16.54128074645996,0.17726898193359375,6.959082609685985,1527.1615747363064,0.6114345022758848,nan,,
TD3,1,clean,clean,15,621015,0.0,0.0,0.0,0,0,1,-57.71275547610733,2200,874.0049438476562,23.789310455322266,11.45850944519043,2.992018699645996,6.725162622650916,1475.3635009295267,0.5923997328773586,nan,,
TD3,1,clean,clean,16,621016,0.0,0.0,0.0,0,0,1,-37.157728276372204,2200,885.8856201171875,19.78619384765625,14.220754623413086,5.941631317138672,6.8612593748522075,1505.097088170612,0.5885903488086257,nan,,
TD3,1,clean,clean,17,621017,0.0,0.0,0.0,0,0,1,-32.314495763126466,2200,904.005126953125,15.31581974029541,13.4883394241333,12.515021324157715,6.912425144023516,1516.9720723316104,0.5959273367265454,nan,,
TD3,1,clean,clean,18,621018,0.0,0.0,0.0,0,0,1,-33.0771507271032,2200,926.3319702148438,18.596216201782227,15.307709693908691,16.581987380981445,6.728676946684718,1476.5022868995813,0.627382685711915,nan,,
TD3,1,clean,clean,19,621019,0.0,0.0,0.0,1,0,0,196.14164186274786,1308,943.4722290039062,9.894619941711426,9.894619941711426,4.089935302734375,9.230812065440034,1204.7826344581213,0.7831057669819873,1.2769667165827443,,
TD3,1,mild_noise,noise_curve,0,621000,0.01,0.01,0.0,1,0,0,213.637226236971,729,868.2344360351562,9.830087661743164,9.830087661743164,5.020824432373047,14.552940271682372,1059.42406193724,0.8195343745992719,1.2202050713113413,,
TD3,1,mild_noise,noise_curve,1,621001,0.01,0.01,0.0,0,0,1,-31.967097710474825,2200,925.5282592773438,19.15715789794922,15.010004997253418,14.817315101623535,6.573955438753421,1442.203432668479,0.6417459827875032,nan,,
TD3,1,mild_noise,noise_curve,2,621002,0.01,0.01,0.0,1,0,0,204.53970541096174,733,956.6654052734375,9.971930503845215,9.971930503845215,6.324211120605469,14.16033223738937,1037.3724291316582,0.9222005312732504,1.084362853943854,,
TD3,1,mild_noise,noise_curve,3,621003,0.01,0.01,0.0,1,0,0,141.26207190993696,737,876.954833984375,9.992730140686035,9.992730140686035,0.44553375244140625,14.020583745905956,1032.125028826366,0.8496594981148402,1.1769420599884117,,
TD3,1,mild_noise,noise_curve,4,621004,0.01,0.01,0.0,1,0,0,203.58892400883795,672,877.9403686523438,9.980584144592285,9.980584144592285,7.611362457275391,14.51850809485075,974.9488756505131,0.9004988780222527,1.110495553527262,,
TD3,1,mild_noise,noise_curve,5,621005,0.01,0.01,0.0,1,0,0,194.26087949491455,809,987.8280639648438,9.967623710632324,9.967623710632324,2.8797149658203125,14.279929122759768,1154.4704408137122,0.8556547045661793,1.1686957304897942,,
TD3,1,mild_noise,noise_curve,6,621006,0.01,0.01,0.0,0,0,1,-48.52197308313193,2200,982.4016723632812,22.982017517089844,14.365172386169434,2.6160316467285156,7.349161049716852,1613.1717280863566,0.6089876578290065,nan,,
