method,condition,condition_group,model_seeds,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,timeout_rate_mean,timeout_rate_std,reward_mean_mean,reward_mean_std,steps_mean_mean,steps_mean_std,final_distance_mean_mean,final_distance_mean_std,best_distance_mean_mean,best_distance_mean_std,min_obstacle_distance_mean_mean,min_obstacle_distance_mean_std,avg_speed_mean_mean,avg_speed_mean_std,path_length_mean_mean,path_length_mean_std,path_efficiency_mean_mean,path_efficiency_mean_std,successful_path_stretch_mean_mean,successful_path_stretch_mean_std
TD3,latency_30ms,latency_curve,5,0.6599999999999999,0.3895510236156491,0.04,0.05477225575051662,0.30000000000000004,0.39210967853395307,126.0863734044209,95.31348309593065,1349.23,508.5894115099134,28.889483299255367,21.156108495409846,24.055508785247802,20.860191894544457,7.401657781675458,7.577975102371465,11.577089679392213,2.4304354190503674,1395.0849344072965,189.8843638009182,0.7011868945268217,0.10004518745707838,1.4243564458587425,0.23470189684659026
TD3,latency_50ms,latency_curve,5,0.65,0.3984344362627307,0.04,0.05477225575051662,0.31,0.3990613987846983,123.5512119328456,99.54981361549689,1346.55,504.3879620391431,26.10003688812256,20.286644413626046,21.337900600433347,20.737157966300703,7.359878747276961,7.668240037130845,11.602185405837579,2.3947630171085375,1396.1091199131965,194.11475771280504,0.7010395144475426,0.10177876053770772,1.3929862051416944,0.22434310928509152
TD3,mild_noise,noise_curve,5,0.65,0.3122498999199199,0.03,0.0670820393249937,0.32,0.3420526275297414,128.25227979484416,75.39974195902501,1403.97,477.93130076403236,17.757146692276002,7.700844852073137,11.823446283340454,2.307453688126691,7.552197489738464,7.116027205570104,11.410286948671336,2.519996130579566,1428.295178620872,181.8230412578168,0.6718365527895348,0.08254180867365958,1.4007710086087537,0.18871717244784583
TD3,mild_noise_latency_30ms,combined,5,0.6900000000000001,0.3209361307176242,0.03,0.0670820393249937,0.28,0.3456877203488721,132.0983590775281,73.15056592348475,1356.16,468.9728209075661,17.532971134185793,8.45044563307908,11.653706226348879,2.326065548156731,7.513259747028352,7.561430358281258,11.593568926500717,2.282528316233696,1416.8569573682435,174.67737208902128,0.6762536346766506,0.08091982881824321,1.4164956166015563,0.18726452619841932
TD3,moderate_noise,noise_curve,5,0.6299999999999999,0.31741140496207754,0.06,0.1341640786499874,0.31,0.359513560244951,116.07132229111986,83.57417984392754,1437.77,447.8556988584605,22.95726622581482,16.224910082343722,13.420673570632934,5.507181503178092,7.3064663062989705,7.332458955748171,11.11042662636896,2.320834347681672,1428.4767792932494,150.82447937352165,0.6696446639093708,0.07046852255589821,1.4057315230245928,0.18468959179214925
TD3,moderate_noise_latency_50ms,combined,5,0.6199999999999999,0.3456877203488721,0.06,0.108397416943394,0.32,0.3914715826212677,112.36527893662904,85.08063845282791,1416.6000000000001,485.35919688412207,24.052042369842532,13.930145395235856,16.650144548416137,5.83840122083233,7.5753545713424675,8.049978424207845,11.280966542526008,2.379465662678674,1434.8369215996697,159.74300172347137,0.6685614989320975,0.07432996396710953,1.4102905900404963,0.19685161034758622
HW_GA_SAC,clean,clean,5,0.9359999999999999,0.03286335345030994,0.024,0.0433589667773576,0.04,0.03741657386773942,200.33611872583305,20.672695660696153,968.4440000000001,151.09616831673793,25.93201788330078,18.980636455704467,25.22822691345215,18.891450752241646,12.841538478888571,6.702813026543039,13.605696416589424,0.8948201910302369,1282.678323655057,187.28593017443862,0.7539602366285767,0.130943876137437,1.3768403325913738,0.19557499974671275
HW_GA_SAC,latency_10ms,latency_curve,5,0.96,0.039999999999999994,0.012,0.026832815729997475,0.028000000000000004,0.041472882706655445,207.72692852695295,14.59454704308525,964.796,132.25468112698317,15.882385227203368,7.902784501391614,15.50710103225708,7.577077726644046,12.821440370205789,6.6706993390230265,13.603189289478411,0.8408345164986288,1286.998055797038,187.3554192879401,0.7393284224573584,0.10523869847314014,1.3792899550741897,0.19367762979025518
HW_GA_SAC,latency_30ms,latency_curve,5,0.9480000000000001,0.041472882706655424,0.012,0.026832815729997475,0.04,0.0469041575982343,204.68885229587423,15.682659118816776,971.4,138.23543033535222,16.057333248138427,7.77134154354215,15.493977054595948,7.591118556207664,12.813715351026506,6.66783858555357,13.588885753650832,0.8592111281979746,1291.2445584548232,187.61138787990964,0.7379052095971167,0.10551440565829584,1.3730002657363052,0.19680306341501586
HW_GA_SAC,latency_50ms,latency_curve,5,0.9640000000000001,0.03286335345030996,0.012,0.026832815729997475,0.024,0.03286335345030997,208.9754676282194,15.97257600337013,962.0319999999999,128.2564630730163,12.727996109008789,5.365108425786338,12.377688117980957,5.261943423236107,12.828690435338766,6.669958479173091,13.62792854051906,0.8562550820423742,1289.2782629403703,193.29159567320383,0.7382318000758266,0.1077323159114883,1.3799321188920302,0.19688185362328112
HW_GA_SAC,mild_noise,noise_curve,5,0.952,0.03033150177620617,0.008,0.01788854381999832,0.04,0.03741657386773942,207.48867723052186,12.211557176232454,967.132,140.99907701825572,21.073234439849852,14.859374200294624,20.497803993225098,14.842406786079914,12.919335662841798,6.588032191594193,13.631988161467513,0.9001397425872164,1285.515135968551,179.4667231834914,0.7482485033844635,0.1191413076104608,1.3740086161750038,0.19309485405838558
HW_GA_SAC,mild_noise_latency_30ms,combined,5,0.9560000000000001,0.05366563145999494,0.004,0.00894427190999916,0.04,0.0469041575982343,207.80462060724253,9.310624664644129,970.284,137.59153418724568,20.384548694610594,22.451062292986013,19.901786502838135,22.045221751081368,12.921369941830637,6.451962588584645,13.560840255490572,0.891761682378519,1286.399104414751,166.35627574896827,0.7653179426654806,0.06443210089883732,1.3761341103235527,0.19331262391127596
HW_GA_SAC,moderate_noise,noise_curve,5,0.9480000000000001,0.04381780460041327,0.004,0.00894427190999916,0.048,0.048166378315169185,205.3285793187352,12.681525207279302,983.344,138.96971065667512,16.45134501647949,12.56157265475256,15.93739379501343,12.518045991351473,12.813147394686936,6.655586043485272,13.512531359052389,0.9765161929881228,1292.2455583727708,174.9870909325967,0.7358235465736354,0.09842638760659088,1.371322513893413,0.19194436541927934
HW_GA_SAC,moderate_noise_latency_50ms,combined,5,0.96,0.039999999999999994,0.004,0.00894427190999916,0.036,0.0433589667773576,210.19671220355673,9.066388532647421,979.872,140.6046454424604,15.114368034362792,8.049770148875442,14.726481452941893,7.728358256038119,12.89814867730625,6.498484636701613,13.482643239758222,0.9870605035965608,1291.1442313469922,182.58308430786158,0.7378961271993167,0.10250112994665007,1.3766746086325339,0.19089669200818923
