method,model_seed,condition,condition_group,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
SAC,4,latency_30ms,latency_curve,20,1.0,0.0,0.0,226.57532907019063,814.65,9.912029314041138,9.912029314041138,27.450772094726563,14.809551591222558,1206.5970529492672,0.7611737516635582,1.3151475120087377
SAC,4,latency_50ms,latency_curve,20,1.0,0.0,0.0,226.57532909708775,814.65,9.912026309967041,9.912026309967041,27.450771141052247,14.809551679937181,1206.5970669267367,0.7611737422101192,1.315147527248046
SAC,4,mild_noise,noise_curve,20,1.0,0.0,0.0,226.57461561860464,814.6,9.910491895675658,9.910491895675658,26.46851258277893,14.815283978611811,1206.228083166911,0.7614234496632692,1.3147095131478692
SAC,4,mild_noise_latency_30ms,combined,20,1.0,0.0,0.0,226.56418830931952,815.05,9.940798997879028,9.940798997879028,27.289977169036867,14.814318409252142,1207.728522495261,0.760473168838087,1.3163699638808743
SAC,4,moderate_noise,noise_curve,20,1.0,0.0,0.0,226.2807609947181,816.65,9.924131774902344,9.924131774902344,25.562432193756102,14.799040255992807,1207.8938223456064,0.7603129058997322,1.3165884380657469
SAC,4,moderate_noise_latency_50ms,combined,20,1.0,0.0,0.0,226.69122548217206,817.3,9.904831409454346,9.904831409454346,26.05777826309204,14.79937120557733,1209.829502072573,0.7591233067678365,1.3187046413409027
SAC,5,clean,clean,20,0.9,0.05,0.05,190.50472560992097,856.55,51.59469408988953,50.87514410018921,23.113186717033386,14.296465563588672,1178.9692792513763,1.0776115864683977,1.2834260716090498
SAC,5,latency_10ms,latency_curve,20,1.0,0.0,0.0,215.9644304416729,838.3,9.943921327590942,9.943921327590942,22.92601082324982,14.5063370201764,1211.3819659437572,0.7758493440290316,1.2908793293971879
SAC,5,latency_30ms,latency_curve,20,1.0,0.0,0.0,215.2274437910274,854.7,9.943412733078002,9.943412733078002,22.147120785713195,14.451514055258988,1224.7771706676165,0.770605133061596,1.3047549440029396
SAC,5,latency_50ms,latency_curve,20,1.0,0.0,0.0,215.96419022609135,847.75,9.948518896102906,9.948518896102906,22.925959992408753,14.470903950819153,1219.0327704940196,0.7726387456820782,1.2988045634881848
