method,model_seed,city_seed,city_split,condition,condition_group,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
HW_GA_SAC,1,42,city42_train_replay,moderate_noise,noise_curve,10,1.0,0.0,0.0,244.29078044061134,1033.9,9.915743732452393,9.915743732452393,17.578164672851564,14.867810681739044,1535.8190075685263,0.5947183234016813,1.684915240965747
HW_GA_SAC,1,42,city42_train_replay,moderate_noise_latency_50ms,combined,10,1.0,0.0,0.0,244.42469816082775,1033.8,9.92621669769287,9.92621669769287,17.844962310791015,14.867069920333535,1536.3706408288654,0.59443159541283,1.685334006094693
HW_GA_SAC,2,1,city1_4_unseen,clean,clean,10,0.9,0.1,0.0,165.74053469189184,949.1,31.510288524627686,31.510288524627686,3.5601768493652344,13.85669370419949,1313.9335690137318,0.7348439933690462,1.4064595519344856
HW_GA_SAC,2,1,city1_4_unseen,latency_10ms,latency_curve,10,1.0,0.0,0.0,192.8993241034674,969.0,9.873376560211181,9.873376560211181,3.2263615685515106,13.738715968569144,1330.4766640810421,0.7213062256035754,1.3875945766904383
HW_GA_SAC,2,1,city1_4_unseen,latency_30ms,latency_curve,10,1.0,0.0,0.0,192.89922344066395,969.0,9.875205898284912,9.875205898284912,3.226353557687253,13.738840313289495,1330.4715744319553,0.7213088021110649,1.3875890350212914
HW_GA_SAC,2,1,city1_4_unseen,latency_50ms,latency_curve,10,1.0,0.0,0.0,192.89957245823064,969.0,9.877411270141602,9.877411270141602,3.2263466912321745,13.73872604297398,1330.4768703391571,0.7213059726985994,1.38759480357374
HW_GA_SAC,2,1,city1_4_unseen,mild_noise,noise_curve,10,1.0,0.0,0.0,209.64423611315001,958.8,9.899856281280517,9.899856281280517,4.1277931213378904,13.925110574326192,1333.2991606137748,0.7194890223092856,1.39096666813045
HW_GA_SAC,2,1,city1_4_unseen,mild_noise_latency_30ms,combined,10,1.0,0.0,0.0,200.32547223455748,967.9,9.915541076660157,9.915541076660157,3.4847613334655763,13.799686703110448,1335.097679071185,0.7186182603730831,1.3929760286351827
HW_GA_SAC,2,1,city1_4_unseen,moderate_noise,noise_curve,10,1.0,0.0,0.0,213.9996884333337,959.0,9.858463859558105,9.858463859558105,4.4902900695800785,13.914022647984172,1332.7750420557195,0.7198662414965142,1.3906064380850056
HW_GA_SAC,2,1,city1_4_unseen,moderate_noise_latency_50ms,combined,10,1.0,0.0,0.0,202.15522934204625,966.0,9.884110641479491,9.884110641479491,3.6992218017578127,13.79852728277242,1332.476985301598,0.7201554293827188,1.3903703647854337
HW_GA_SAC,2,2,city1_4_unseen,clean,clean,10,0.9,0.0,0.1,200.1486946403623,1102.3,11.959624576568604,9.955455207824707,9.414027404785156,13.464979823952614,1442.9374149143275,0.6489967407360413,1.4893199161823352
HW_GA_SAC,2,2,city1_4_unseen,latency_10ms,latency_curve,10,1.0,0.0,0.0,222.72337752089797,1002.6,9.923936367034912,9.923936367034912,9.951968955993653,13.791535883558618,1377.7761694767337,0.6661687167167105,1.504311199301705
HW_GA_SAC,2,2,city1_4_unseen,latency_30ms,latency_curve,10,1.0,0.0,0.0,222.72328498137796,1002.6,9.92248067855835,9.92248067855835,9.951980209350586,13.791688452810053,1377.7984505160314,0.6661578912953848,1.504337801072999
HW_GA_SAC,2,2,city1_4_unseen,latency_50ms,latency_curve,10,1.0,0.0,0.0,222.7249423859179,1002.7,9.906868171691894,9.906868171691894,9.951976013183593,13.791106325066457,1377.8706283062602,0.6661247418088634,1.5044114610243493
HW_GA_SAC,2,2,city1_4_unseen,mild_noise,noise_curve,10,0.9,0.0,0.1,198.4947424788673,1126.4,11.899358558654786,9.958106899261475,9.363940238952637,13.309010244278593,1456.8635500566477,0.642544288687602,1.5062760360911454
HW_GA_SAC,2,2,city1_4_unseen,mild_noise_latency_30ms,combined,10,0.9,0.0,0.1,203.77221980445395,1106.7,11.8884840965271,9.962320327758789,10.854040431976319,13.403919900711696,1443.0747535022606,0.6493557443340962,1.4882891642267633
HW_GA_SAC,2,2,city1_4_unseen,moderate_noise,noise_curve,10,0.9,0.0,0.1,207.00462283274132,1092.2,11.926176929473877,10.012675380706787,9.677674865722656,13.491574424100303,1430.391944872712,0.6551848160943164,1.4748153491821254
HW_GA_SAC,2,2,city1_4_unseen,moderate_noise_latency_50ms,combined,10,0.9,0.0,0.1,200.90372930920563,1081.0,11.801451206207275,9.980062294006348,11.190648365020753,13.52399881205615,1420.41865890292,0.6602020527068895,1.463210671971467
HW_GA_SAC,2,3,city1_4_unseen,clean,clean,10,1.0,0.0,0.0,213.28572574990525,944.6,9.867278861999512,9.867278861999512,4.869956636428833,13.654610668761483,1288.0359381106052,0.7222748246173093,1.388032445227592
HW_GA_SAC,2,3,city1_4_unseen,latency_10ms,latency_curve,10,1.0,0.0,0.0,211.81925850863598,950.4,9.893909358978272,9.893909358978272,5.019847965240478,13.623660176485757,1294.2429221550187,0.7184233679431888,1.3947165894835012
HW_GA_SAC,2,3,city1_4_unseen,latency_30ms,latency_curve,10,1.0,0.0,0.0,213.564415869347,950.3,9.857777786254882,9.857777786254882,5.034248733520508,13.624676280277498,1294.244861178859,0.7184196525604194,1.3947193998555778
HW_GA_SAC,2,3,city1_4_unseen,latency_50ms,latency_curve,10,1.0,0.0,0.0,213.67138152996836,950.5,9.876467514038087,9.876467514038087,5.120876979827881,13.622499359752695,1294.2461782722673,0.7184215056669901,1.3947201451776676
HW_GA_SAC,2,3,city1_4_unseen,mild_noise,noise_curve,10,1.0,0.0,0.0,205.39116450759093,950.4,9.883473110198974,9.883473110198974,5.519233703613281,13.62152413875918,1292.7659005152132,0.7194972138614756,1.393177772506391
HW_GA_SAC,2,3,city1_4_unseen,mild_noise_latency_30ms,combined,10,1.0,0.0,0.0,200.18106775126216,950.9,9.923048496246338,9.923048496246338,5.415056827664375,13.594797858226297,1292.3801084009876,0.7194816133179095,1.3923584809908982
HW_GA_SAC,2,3,city1_4_unseen,moderate_noise,noise_curve,10,1.0,0.0,0.0,208.08888544890678,946.5,9.90780267715454,9.90780267715454,3.6489851474761963,13.628277823205178,1288.8834204748323,0.721793252625956,1.388718271169782
HW_GA_SAC,2,3,city1_4_unseen,moderate_noise_latency_50ms,combined,10,1.0,0.0,0.0,208.2497113114698,956.2,9.863846969604491,9.863846969604491,4.5773170471191404,13.49932917809675,1289.964434857399,0.7209527143868806,1.3898239418484883
HW_GA_SAC,2,4,city1_4_unseen,clean,clean,10,1.0,0.0,0.0,222.07284297146663,973.9,9.900231075286865,9.900231075286865,4.684368705749511,13.944487358001798,1356.8400330428042,0.6835911340196797,1.4655603792498002
HW_GA_SAC,2,4,city1_4_unseen,latency_10ms,latency_curve,10,1.0,0.0,0.0,220.6023542024284,977.1,9.899930953979492,9.899930953979492,4.520601087808609,13.868902983725562,1355.1260491986402,0.6844431661026446,1.4636933869839477
HW_GA_SAC,2,4,city1_4_unseen,latency_30ms,latency_curve,10,1.0,0.0,0.0,220.60527370008873,977.1,9.872709560394288,9.872709560394288,4.52060986161232,13.86890128824933,1355.1554352330916,0.6844279191454307,1.4637272990708934
HW_GA_SAC,2,4,city1_4_unseen,latency_50ms,latency_curve,10,1.0,0.0,0.0,220.6053094562952,977.1,9.873556423187257,9.873556423187257,4.5205884039402005,13.868894820242053,1355.154831081274,0.6844282110475894,1.4637266232748603
HW_GA_SAC,2,4,city1_4_unseen,mild_noise,noise_curve,10,1.0,0.0,0.0,223.81505339179475,975.8,9.892946147918702,9.892946147918702,4.50398359298706,13.908449322024357,1355.9270047332247,0.6840465647730184,1.4645755149503035
HW_GA_SAC,2,4,city1_4_unseen,mild_noise_latency_30ms,combined,10,1.0,0.0,0.0,221.22363245443503,977.6,9.855189418792724,9.855189418792724,4.681964492797851,13.85426220271909,1354.2615168942898,0.6848164495251589,1.4627327383086761
HW_GA_SAC,2,4,city1_4_unseen,moderate_noise,noise_curve,10,1.0,0.0,0.0,211.4480300821213,979.9,9.875373268127442,9.875373268127442,4.098522070795298,13.801232599733904,1350.5075055330205,0.6867979835554784,1.45856948438005
HW_GA_SAC,2,4,city1_4_unseen,moderate_noise_latency_50ms,combined,10,1.0,0.0,0.0,224.20732220321474,983.1,9.902076625823975,9.902076625823975,4.490081119537353,13.718955107871242,1348.3039894460112,0.688032583072296,1.4562364358502182
HW_GA_SAC,2,42,city42_train_replay,clean,clean,10,1.0,0.0,0.0,221.38736225553401,951.1,9.9102614402771,9.9102614402771,4.268090057373047,13.831936150545943,1313.1865349908878,0.6909705141362052,1.4499322441500055
HW_GA_SAC,2,42,city42_train_replay,latency_10ms,latency_curve,10,1.0,0.0,0.0,219.52652151689603,937.0,9.886734199523925,9.886734199523925,3.5862403869628907,13.86180853190696,1298.3351418219493,0.6993710296231093,1.4334181323161181
HW_GA_SAC,2,42,city42_train_replay,latency_30ms,latency_curve,10,1.0,0.0,0.0,219.52656335161782,937.0,9.884306812286377,9.884306812286377,3.586244583129883,13.861847617371685,1298.339453797878,0.699368681013571,1.4334229019568845
HW_GA_SAC,2,42,city42_train_replay,latency_50ms,latency_curve,10,1.0,0.0,0.0,219.5317369889846,937.0,9.871430397033691,9.871430397033691,3.5862567901611326,13.861634544714459,1298.37570632329,0.6993501690362657,1.4334646885866118
HW_GA_SAC,2,42,city42_train_replay,mild_noise,noise_curve,10,1.0,0.0,0.0,223.7609220537526,938.7,9.852550888061524,9.852550888061524,4.461019134521484,13.899694269474562,1303.4916770147497,0.6962320467265651,1.4392788329289394
HW_GA_SAC,2,42,city42_train_replay,mild_noise_latency_30ms,combined,10,1.0,0.0,0.0,213.0965455353271,942.2,9.925605773925781,9.925605773925781,2.7749794006347654,13.7999229013402,1300.0865642182614,0.6983392468247531,1.4353304932443813
HW_GA_SAC,2,42,city42_train_replay,moderate_noise,noise_curve,10,1.0,0.0,0.0,217.4425802915408,940.7,9.899978542327881,9.899978542327881,3.1130924224853516,13.822025646302261,1298.6179802869024,0.6991910065562369,1.4338408046061648
HW_GA_SAC,2,42,city42_train_replay,moderate_noise_latency_50ms,combined,10,1.0,0.0,0.0,216.45423247097983,939.6,9.876956462860107,9.876956462860107,3.1165958404541017,13.820302153899297,1298.180734742467,0.6993866894499512,1.4330312290122529
HW_GA_SAC,3,1,city1_4_unseen,clean,clean,10,1.0,0.0,0.0,210.15972587699463,847.2,9.933756160736085,9.933756160736085,7.369486713409424,13.132823799999528,1101.6872286548646,0.8502147300360345,1.1798999765737104
HW_GA_SAC,3,1,city1_4_unseen,latency_10ms,latency_curve,10,1.0,0.0,0.0,212.17085875666052,869.3,9.917105770111084,9.917105770111084,7.863809204101562,12.87893824608094,1105.2225966753563,0.8474769048861142,1.1835414471949481
HW_GA_SAC,3,1,city1_4_unseen,latency_30ms,latency_curve,10,1.0,0.0,0.0,212.06719982826303,856.8,9.937647724151612,9.937647724151612,7.856732177734375,12.954073858761214,1100.763111624985,0.85021855534081,1.178909487010702
HW_GA_SAC,3,1,city1_4_unseen,latency_50ms,latency_curve,10,1.0,0.0,0.0,211.9977789645633,878.6,9.91520185470581,9.91520185470581,7.864010429382324,12.851040477424528,1111.0600601198403,0.8441661180770896,1.18960405045638
HW_GA_SAC,3,1,city1_4_unseen,mild_noise,noise_curve,10,1.0,0.0,0.0,209.75575188442153,832.9,9.951615238189698,9.951615238189698,7.619887638092041,13.2156427331341,1094.3540361280243,0.8547436090975055,1.1724633955922874
