method,model_seed,city_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
HW_GA_SAC,5,1,200,0.91,0.0,0.09,192.989768581784,1117.39,11.338411602973938,10.565838680267333,12.638971574306488,12.267889119293452,1312.3343344595023,0.7260588847486291,1.347912025807953
HW_GA_SAC,5,2,200,0.89,0.0,0.11,188.1363411098854,1115.07,11.473574132919312,10.634591450691223,16.170948707461356,12.341213494970825,1305.865717003566,0.7314255793888216,1.3309656726974894
HW_GA_SAC,5,3,200,0.91,0.0,0.09,193.40154736376343,1106.085,15.015386867523194,14.24374915599823,12.024752862453461,12.262386095880935,1304.2703884280418,0.7255206037556505,1.3481412337016787
HW_GA_SAC,5,4,200,0.915,0.0,0.085,194.58124574361332,1110.43,11.11100591659546,10.470659747123719,12.547139673233032,12.295705757820297,1308.1897676676099,0.7290410709508052,1.3479800682431395
HW_GA_SAC,5,42,200,0.91,0.005,0.085,192.8306392088442,1076.725,15.009336633682251,14.236088604927064,17.913309504985808,12.427612500750309,1275.0998592632386,0.7499078589789778,1.3230323836568127
LSTM_SAC,1,1,200,0.0,0.0,1.0,-4.378396675206846,2200.0,50.17476547241211,50.17476547241211,12.74753478884697,10.487052248025364,2306.0501484659126,2.511684731810741,nan
LSTM_SAC,1,2,200,0.0,0.0,1.0,-2.4078301209591304,2200.0,50.35276987075806,50.35276987075806,16.25078974723816,10.517397434251231,2312.749633838171,2.509001024383144,nan
LSTM_SAC,1,3,200,0.0,0.0,1.0,-11.095291350271971,2200.0,105.54397190093994,105.54397190093994,12.842070068120956,9.974947215560054,2192.736124660855,2.367206387969801,nan
LSTM_SAC,1,4,200,0.0,0.0,1.0,-3.243970851698536,2200.0,50.44761739730835,50.44761739730835,12.834992244243622,10.50637123731524,2310.314306824086,2.5038729068890584,nan
LSTM_SAC,1,42,200,0.0,0.0,1.0,-3.1131199240925325,2200.0,50.6373885345459,50.6373885345459,14.138442113995552,10.515096554348686,2312.2379088037646,2.51426074110031,nan
LSTM_SAC,2,1,200,0.985,0.0,0.015,203.91638204852782,740.78,10.517582306861877,10.517582306861877,18.520397492349147,14.465728514416117,1055.4952257921918,1.145862979108841,1.1302072009417372
LSTM_SAC,2,2,200,0.98,0.005,0.015,204.8442597247284,727.995,13.993045353889466,13.993045353889466,21.339419294297695,14.560735941314883,1044.522044917345,1.1296019968183761,1.121507373146599
LSTM_SAC,2,3,200,0.97,0.015,0.015,197.43223510411323,734.95,21.92100556373596,21.92100556373596,20.028347120322287,14.424138069018788,1046.034820976006,1.1269764589278601,1.127885568052623
