method,model_seed,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
PPO,1,1000,0.15,0.719,0.131,-171.09037109063703,1062.98,165.21442899799348,164.61953104305266,0.8426411798997869,11.450217322297974,1155.6727538353748,1.4148393704874342,1.898283745168029
PPO,2,1000,0.0,0.105,0.895,-130.13169298405066,2117.038,927.7158790588379,834.5133017272949,19.924820910006527,6.959961820203541,1472.3855517846262,0.7116173628224547,nan
PPO,3,1000,0.42,0.153,0.427,47.55043379065351,1955.944,69.93778560352325,55.03118953895569,15.43846963830432,10.722601946946053,2091.632652120586,0.6524920730724025,2.2375401198085862
PPO,4,1000,0.77,0.209,0.021,117.9673896549946,1259.246,108.43836171531677,108.15041347694397,9.128154258512659,9.30478035294647,1160.593747685819,1.2030668441499577,1.3852556779495322
PPO,5,1000,0.0,1.0,0.0,-184.84913941123057,148.741,887.2030130615234,886.7847266540527,0.006812853813171387,8.921416793049307,120.70572343219659,13.498670125170754,nan
SAC,1,1000,0.72,0.035,0.245,120.85680090430242,1190.579,28.43805009365082,28.43805009365082,4.863708863987471,11.423106903629387,1210.5597930349277,1.312179767005824,1.1555688946356517
SAC,2,1000,0.976,0.002,0.022,211.70076768387094,801.39,18.067304718971254,18.067304718971254,19.434170471072196,13.293031817262287,1034.6195483322917,1.1198812886806304,1.1169711058489193
SAC,3,1000,0.963,0.008,0.029,205.8966447171645,808.555,29.38959484386444,29.38959484386444,25.716877478765323,14.031009212261127,1095.5178790798323,1.1862469660232278,1.1963828068830533
SAC,4,1000,0.974,0.009,0.017,212.38640517041483,854.667,24.120308346748352,23.911040013313293,20.70862036459148,14.416984747797878,1207.0966914802336,0.7845119933266339,1.3087410339178716
SAC,5,1000,0.945,0.018,0.037,206.00651676269575,855.501,16.35963677406311,15.397486347198486,26.152859505174217,14.469227423982883,1201.60473933069,0.8068985206798145,1.281734567989912
SAC_Large,1,1000,0.364,0.018,0.618,47.59393489650547,1717.96,27.362651948928832,27.362651948928832,4.375553121561184,9.863050323978108,1510.386166432037,1.636038497548279,1.3821715337013147
SAC_Large,2,1000,0.964,0.027,0.009,185.17520568569964,788.383,28.715764028549195,28.715764028549195,5.818183965455741,14.070593767565219,1085.8248054795163,1.17533040459859,1.191098492658073
SAC_Large,3,1000,0.972,0.022,0.006,190.294474432151,814.815,17.783994375228882,17.783994375228882,6.0358469073872545,13.150071066746074,1060.4603227800649,1.1481342658653577,1.1532310635377645
SAC_Large,4,1000,0.986,0.002,0.012,229.8127130747581,1060.916,11.547049704551696,11.498299104690552,7.792295951589942,15.290585479558677,1614.118867822298,0.5812894246710257,1.7370294482677429
SAC_Large,5,1000,0.978,0.004,0.018,211.7777173605905,829.421,12.575573998451233,12.436558932304383,21.83731844586134,13.911678976946813,1118.7875691425313,0.8310985489975111,1.2042183713561487
TD3,1,1000,0.793,0.004,0.203,140.1792083365546,1187.593,13.150184629440307,13.150184629440307,3.836604880859144,11.92495521656358,1194.6024622216544,1.2938569335304355,1.2014297143153674
TD3,2,1000,0.908,0.008,0.084,198.00112434086955,1190.14,14.928597146987915,14.928597146987915,4.855718584179878,11.652600145087662,1352.2433235837455,1.4633000767189457,1.4030063220072135
TD3,3,1000,0.852,0.148,0.0,145.23536338509106,958.901,39.142981575965884,39.142981575965884,3.9095756111710798,13.406630664854662,1250.2366003949157,1.3552631976516043,1.2841735785716824
TD3,4,1000,0.241,0.001,0.758,49.65353175027105,2085.847,31.5209970703125,24.482698255538942,3.7019692812860012,8.06991305105461,1666.3993425367532,0.5600191802965907,1.6696268620840908
TD3,5,1000,0.943,0.0,0.057,212.2462295874718,979.093,25.47588212108612,24.830916975975036,20.248883954793214,13.931773718946133,1292.4584949425716,0.7307378987634108,1.3994596770483827
