variant,seed,episode,eval_seed,reward,steps,success,collision,timeout,init_distance,final_distance,best_distance,min_obstacle_distance,avg_speed
wo_lidar,1,16,53016,214.71780599433518,640,True,False,False,852.7048950195312,9.951727867126465,9.951727867126465,32.998870849609375,14.715313248895109
wo_lidar,1,17,53017,-168.37990442510434,505,False,True,False,989.47314453125,353.21044921875,353.21044921875,0.0,14.897467894129234
wo_lidar,1,18,53018,-366.012248776635,506,False,True,False,976.6951293945312,352.5260925292969,352.5260925292969,0.0217742919921875,14.643091289304461
wo_lidar,1,19,53019,212.51676199273604,657,True,False,False,899.7825927734375,9.928447723388672,9.928447723388672,39.41175842285156,14.709546508582216
wo_lidar,2,0,54000,233.1800958139686,836,True,False,False,875.9276733398438,9.957050323486328,9.957050323486328,37.66100311279297,13.365344270493425
wo_lidar,2,1,54001,230.95511257771744,853,True,False,False,922.4310913085938,9.963539123535156,9.963539123535156,42.045082092285156,13.451755724506668
wo_lidar,2,2,54002,235.58600120951866,977,True,False,False,993.50048828125,9.91577434539795,9.91577434539795,33.15485382080078,12.829009706678752
wo_lidar,2,3,54003,231.95532822457795,924,True,False,False,992.4332885742188,9.993803977966309,9.993803977966309,43.61818313598633,13.364418772843493
wo_lidar,2,4,54004,238.31365162081306,1035,True,False,False,970.287353515625,9.968147277832031,9.968147277832031,25.268348693847656,12.555545984892454
wo_lidar,2,5,54005,-8.08140147598347,2200,False,False,True,924.173583984375,27.14701271057129,16.607532501220703,31.585037231445312,9.113637038726699
wo_lidar,2,6,54006,235.0143223948641,905,True,False,False,923.8221435546875,9.86028003692627,9.86028003692627,35.40794372558594,12.828081385272643
wo_lidar,2,7,54007,-142.0957858008137,98,False,True,False,973.698974609375,886.5669555664062,886.4305419921875,44.71010971069336,10.847827672350164
wo_lidar,2,8,54008,235.121259018474,867,True,False,False,883.6348266601562,9.997282028198242,9.997282028198242,39.094486236572266,13.044937852138467
wo_lidar,2,9,54009,-139.2110418069049,122,False,True,False,952.5206909179688,834.6646118164062,834.3878784179688,46.72950744628906,12.31231889666104
wo_lidar,2,10,54010,235.17751539532213,880,True,False,False,897.4662475585938,9.905362129211426,9.905362129211426,39.11738204956055,12.959247266433456
wo_lidar,2,11,54011,233.98090474573922,864,True,False,False,897.2638549804688,9.982867240905762,9.982867240905762,39.22050857543945,13.327418870189124
wo_lidar,2,12,54012,237.0109055410462,928,True,False,False,928.97802734375,9.926949501037598,9.926949501037598,37.12922668457031,13.24981216508253
wo_lidar,2,13,54013,-129.32181881697406,227,False,True,False,932.695068359375,721.0800170898438,720.990966796875,46.94310760498047,12.480991033730527
wo_lidar,2,14,54014,234.43229707647941,865,True,False,False,891.0576171875,9.947872161865234,9.947872161865234,38.17929458618164,13.528970680381521
wo_lidar,2,15,54015,231.76742329962448,813,True,False,False,856.9158935546875,9.854881286621094,9.854881286621094,27.969554901123047,13.08376972393796
wo_lidar,2,16,54016,232.7674492819742,854,True,False,False,894.9524536132812,9.880154609680176,9.880154609680176,34.6849250793457,13.07867938391777
wo_lidar,2,17,54017,231.59981201410898,850,True,False,False,913.1389770507812,9.968733787536621,9.968733787536621,36.48356628417969,13.805515614677878
wo_lidar,2,18,54018,-138.82647095113455,135,False,True,False,995.1340942382812,868.9392700195312,868.9392700195312,45.99772262573242,11.682543893655142
wo_lidar,2,19,54019,-142.05731476196203,92,False,True,False,948.9715576171875,861.8939819335938,861.8939819335938,41.63329315185547,11.874551149166148
wo_lidar,3,0,55000,211.25598829270686,789,True,False,False,943.3927612304688,9.938382148742676,9.938382148742676,6.5678558349609375,13.282931894932712
wo_lidar,3,1,55001,181.25231718615257,768,True,False,False,861.066650390625,9.822859764099121,9.822859764099121,0.3083038330078125,12.841545129815737
wo_lidar,3,2,55002,214.36561147522406,821,True,False,False,993.7262573242188,9.921735763549805,9.921735763549805,33.486602783203125,13.407296735026515
wo_lidar,3,3,55003,-149.21811500346334,453,False,True,False,876.3067016601562,341.6842956542969,341.5254211425781,0.5504112243652344,12.625053307867997
wo_lidar,3,4,55004,-120.41439310910943,308,False,True,False,901.3994750976562,491.1895751953125,491.1722412109375,18.42285919189453,13.461735668120447
